0,1,2,3,4,5,6,7,8,9,10,11,12,label
-368.4241,-177.37343,-143.74327,71.08734,-26.904388,53.39864,-45.339535,26.15385,-37.240505,25.514254,-30.267103,11.857407,-14.439104,1
-342.48853,-246.97006,-181.25352,78.94156,-18.516024,86.0721,-59.42236,37.65021,-43.662064,37.465332,-24.4943,15.161795,-23.95796,1
-500.2876,-18.33098,-83.284294,25.265299,-43.713413,29.937616,-23.400108,12.72089,-18.572027,0.6204586,-15.254802,-4.0325103,-7.9465218,1
-254.84502,-61.946342,-2.1035156,33.399944,-5.076007,26.877687,-21.791742,27.023134,-1.967151,-1.4351964,11.279905,-0.36080313,4.204838,1
-117.70986,-62.71052,-37.24583,26.94403,-17.696518,27.027521,-21.083544,15.302483,-10.0564995,1.3841487,2.617039,-0.75851476,4.751023,1
-145.2139,-34.365475,-47.752598,31.815712,-15.472406,28.494156,-21.082954,14.5791,-9.449049,2.6207154,2.9048405,0.053991266,0.23758544,1
-134.36368,-31.001846,-48.07256,37.105587,-17.637499,27.812191,-18.04933,15.013749,-9.051261,4.6128135,3.9575224,1.5706598,-0.14053665,1
-392.97018,51.76864,-42.718533,60.491703,-20.590403,16.01823,-15.877218,22.471472,-9.666118,21.029755,-16.74987,10.204064,-0.7365807,1
-268.42157,61.61577,-43.58821,90.27649,-35.104893,42.228523,-23.786608,28.704247,-16.40464,25.027166,-15.753798,11.807345,0.12526935,1
-326.87592,47.14025,-44.572975,84.884796,-33.623497,45.156128,-21.947388,26.62692,-19.554785,31.963745,-16.408472,11.912449,-0.2649761,1
-322.77145,75.94498,-46.33873,62.969345,-27.007828,21.50099,-23.78916,25.179453,-9.596834,21.278822,-12.002197,11.173127,-3.7606213,1
-367.97882,66.691666,-25.16868,67.41202,-20.957905,20.398445,-15.080322,13.680391,-6.5741487,22.546442,-13.961507,13.320961,3.883299,1
-363.4294,81.21372,-35.71897,57.126186,-28.52333,11.883634,-19.010582,11.407795,-3.6596005,14.398321,-10.992434,12.86599,7.5976562,1
-283.87085,63.6652,-44.98058,71.847244,-31.534208,23.243582,-23.1024,16.249931,-10.478966,22.912767,-15.602386,12.037109,2.8825274,1
-443.87912,59.859512,2.0923917,64.26783,-21.03916,9.541132,-0.20063446,-0.38686916,5.030853,11.25821,-3.397863,6.0395617,11.706969,1
-344.13803,64.4901,-29.639597,74.086494,-30.970995,27.221725,-22.049042,17.505814,-7.0936503,15.284974,-11.595059,10.569576,5.315175,1
-396.13165,62.85592,-6.7223635,66.48006,-17.976,17.438625,-10.405278,5.562758,-2.132409,14.312113,-6.769385,5.665345,7.351547,1
-164.85063,33.459488,-81.51807,97.247406,-53.95623,50.52372,-42.500195,35.916946,-32.034084,35.32282,-23.937359,16.994204,-2.8339806,1
-585.414,102.17915,-32.574047,23.916227,6.023542,20.537926,4.732614,24.46733,-4.3733287,27.750925,-19.321463,14.636746,-1.8298606,1
-107.58261,-10.9639845,-67.78074,48.08086,-7.7888765,30.196524,-20.286705,31.704212,-15.384388,34.62486,-36.9402,36.390343,-18.987207,1
-297.51276,46.32448,-50.91912,29.130426,3.8093967,19.885109,-5.149039,24.825209,-6.056221,26.381039,-25.681768,21.360868,-6.975879,1
-540.22943,134.7377,-31.683262,17.991316,6.2610707,21.00211,6.577007,25.686914,-6.1967306,27.322712,-21.820776,14.221063,-0.7970858,1
-541.32404,110.22941,-27.666725,22.642263,8.190425,21.184973,5.3036003,27.984468,-1.6482786,30.794361,-18.84311,16.753765,-1.5352496,1
-539.511,115.66388,-29.18167,18.720367,2.511897,21.25915,4.582118,26.428473,-4.086504,31.499388,-21.771399,17.916584,-4.345683,1
-536.58997,109.259895,-24.129835,22.391033,1.7255365,23.736996,2.9630494,26.221264,-4.616884,32.072075,-21.809944,19.824478,-5.1853456,1
-316.20096,41.16547,-39.63075,22.620665,5.352434,21.089725,-4.39395,26.536154,-6.2096267,27.416725,-23.110737,22.649698,-7.741714,1
-85.94879,-11.411144,-75.41523,40.68288,-4.4422555,24.98993,-22.256538,34.884983,-19.161404,36.309265,-38.841812,34.811974,-20.025402,1
-90.300896,-11.717825,-73.92893,41.329834,-3.4343712,26.147188,-20.888115,35.656094,-18.34845,36.42354,-36.967003,34.68087,-18.746773,1
-95.12111,-12.382103,-75.70399,43.290688,0.23474835,25.56214,-20.485497,34.96048,-17.725727,35.823868,-36.394268,35.123573,-17.6927,1
-95.759476,-9.64465,-64.383255,46.39359,-6.2395973,28.33096,-19.610327,31.408085,-14.56544,33.816864,-36.122078,34.128674,-17.252752,1
-254.84502,-61.946342,-2.1035156,33.399944,-5.076007,26.877687,-21.791742,27.023134,-1.967151,-1.4351964,11.279905,-0.36080313,4.204838,1
-117.70986,-62.71052,-37.24583,26.94403,-17.696518,27.027521,-21.083544,15.302483,-10.0564995,1.3841487,2.617039,-0.75851476,4.751023,1
-145.2139,-34.365475,-47.752598,31.815712,-15.472406,28.494156,-21.082954,14.5791,-9.449049,2.6207154,2.9048405,0.053991266,0.23758544,1
-134.36368,-31.001846,-48.07256,37.105587,-17.637499,27.812191,-18.04933,15.013749,-9.051261,4.6128135,3.9575224,1.5706598,-0.14053665,1
-245.9274,-56.689785,-15.942093,41.316128,-3.3327887,27.714613,-10.180302,20.248053,7.5047026,1.7115092,9.615349,9.408684,2.6109202,1
-155.43542,-34.681713,-38.543987,17.326105,-9.482804,23.039267,-7.2966,21.623491,8.197914,2.592476,4.1208277,0.5973273,-1.6022931,1
-88.54942,-46.372852,-48.281136,20.026049,-11.073191,12.749244,-9.130641,22.665466,8.47165,4.330463,-2.0474079,0.05418225,-7.9851027,1
-150.3406,-37.956627,-42.944416,18.465725,-6.057758,15.243145,-7.047416,19.256285,10.008223,4.7246356,-1.5779264,3.0818846,-7.0438743,1
-286.25717,-13.281727,-17.272875,19.780897,9.175267,26.289831,-8.3030615,19.977285,5.165155,6.545429,1.4513348,1.6737955,-1.9152801,1
-249.67548,-60.934265,-6.703565,40.842476,-7.8426695,32.164833,-15.363533,25.359035,0.501925,6.4004264,8.921771,7.102387,1.2237322,1
-266.08954,-56.74699,-3.963392,38.60987,-4.5863805,33.127327,-19.721313,26.966478,1.8353821,5.6400466,10.16115,8.140372,-1.8179762,1
-282.97757,-36.92928,-19.933374,33.723785,1.8298252,27.843,-15.317297,15.939057,6.724828,4.046731,5.551946,5.677254,0.71790755,1
-220.48782,-47.47274,-36.103985,28.390568,-2.2203333,16.463242,-13.651726,14.5582,5.024028,0.0022571224,6.4696875,3.1724672,0.17897606,1
-105.950226,-41.08725,-52.805523,14.766474,-11.546122,16.852945,-11.397328,12.878718,-4.403228,8.272818,1.0962337,3.1308367,1.1532584,1
-106.189644,-52.74664,-48.059204,23.957973,-11.499793,14.684664,-9.575504,17.91619,-5.7779393,9.733931,4.4151173,4.0190825,2.6554399,1
-144.63582,-46.0672,-42.690025,20.027872,-14.070052,18.869604,-17.88869,20.205515,0.24630879,4.681742,6.2832747,8.620089,2.5022292,1
-122.55816,-38.998158,-36.258354,18.46055,-11.258766,13.007494,-11.290327,25.18775,1.3641071,4.2712407,0.32882038,-0.5020471,-3.4372184,1
-208.67113,-30.056496,-24.423018,33.977695,-10.363647,32.834118,-12.014349,25.481276,-4.793996,7.954304,1.0286492,0.13623463,-0.5898951,1
-232.30872,-43.18755,-26.184624,35.79407,-8.607463,26.398588,-10.655104,25.452744,-6.019696,7.171834,1.7247964,-2.2213278,-1.3637954,1
-208.47656,-41.865536,-31.74077,31.507206,-10.31185,24.615835,-9.559131,23.103052,-6.3834257,8.150921,-0.48992893,-1.5177163,0.5314773,1
-201.29419,-41.199795,-32.44149,29.920275,-10.830631,25.564943,-9.361784,22.555908,-5.8819823,7.5724983,-0.07241369,-2.1502516,0.07018964,1
-199.17833,-38.911724,-32.10016,27.325123,-13.1072855,26.944332,-10.70696,23.175644,-7.7449436,5.7294416,0.4334379,-2.8009105,0.5085376,1
-243.61075,-21.605461,-21.60085,32.625492,-9.433924,28.692202,-5.699697,27.0917,-4.861195,6.2227364,0.88277537,-3.4332626,-0.30559868,1
-222.58472,-29.871437,-34.064873,30.200546,-10.868555,31.536348,-12.883974,23.468328,-4.934952,7.2625937,-0.99603826,-0.53070825,-2.3774314,1
-232.2059,-33.419914,-23.189161,34.01009,-12.674909,27.472542,-11.208658,21.927036,-5.2792115,5.593304,2.1535056,-2.4205844,-0.9082187,1
-233.88423,-37.794434,-25.063593,30.774263,-12.685337,27.128714,-11.521484,22.92179,-5.1163297,4.6502748,3.3797202,-2.9631598,1.7273816,1
-242.66219,-32.30065,-23.227457,31.333094,-10.611624,27.203333,-11.986413,23.61644,-3.8323557,6.0853634,3.8542404,-4.361015,-0.3002639,1
-239.55641,-32.023792,-26.388163,32.383484,-9.703895,27.223803,-9.932287,22.035675,-4.938797,6.2351375,3.9402876,-2.3690586,-0.065613635,1
-239.8947,-24.425262,-24.57207,34.342525,-11.689898,29.878164,-12.861892,25.091095,-3.920427,7.9029655,5.3063555,-2.0381565,1.4623971,1
-266.62494,-17.660847,-18.517405,38.71688,-11.491658,30.450195,-14.337284,22.6478,-2.929483,6.028046,4.8920755,-3.9415166,0.69420755,1
-252.22627,-33.41349,-28.333736,37.886463,-8.805969,30.451601,-12.702224,23.997477,-3.1683354,7.322408,3.868802,-3.8058405,-0.64030623,1
-218.5782,0.6772634,-27.402737,28.093666,-20.586906,28.373507,-18.571854,9.578462,5.3149467,0.42687383,1.8063235,20.16487,0.997742,1
-187.99141,-23.20666,-29.431177,32.770252,-25.477697,25.068941,-16.983526,11.062046,6.19806,2.5086224,0.32825106,15.285677,-4.183339,1
-182.51044,-24.722923,-30.058084,31.796732,-22.684696,24.961603,-17.603544,9.360297,4.0208616,3.352199,-1.431,14.773399,-3.2493033,1
-224.55972,5.656395,-29.170015,35.56058,-19.432037,30.358267,-16.962078,7.809811,1.1190984,-3.2919211,2.5746703,19.527157,1.4863719,1
-202.0015,-7.0761194,-26.465229,30.799252,-21.348715,26.149736,-15.075694,12.925219,3.299811,-0.852153,-1.250086,17.40748,1.0540546,1
-192.21906,-21.076746,-26.28251,31.984812,-23.201872,27.374245,-17.230665,11.68817,6.4352274,1.9075971,-0.8828789,15.039971,-2.8026319,1
-186.18,-14.738699,-30.655125,31.20622,-24.031199,24.137587,-18.17421,11.118508,7.7152386,3.0839744,0.8001502,14.906861,-3.242487,1
-194.1583,-15.114022,-30.647152,29.568138,-24.169657,26.354115,-17.307905,11.076465,7.055174,2.1528552,-0.59152377,13.992661,-3.6671832,1
-187.33763,-21.566431,-27.104395,31.582613,-24.323395,25.389997,-17.398766,11.339251,7.132909,2.7962253,-0.69720155,14.489654,-4.51947,1
-197.17215,-16.935848,-28.493368,30.92664,-23.810062,27.11656,-17.639961,11.0789585,5.3658285,1.0253125,0.3022849,15.567857,-2.8897321,1
-187.80125,-22.624594,-27.212332,32.306126,-24.382608,25.477373,-17.609066,10.505437,5.2194004,1.4103487,-1.2082665,14.113077,-3.3588953,1
-40.286804,-44.740788,-24.589182,21.767271,-6.7153726,-4.3703213,0.8897827,4.0858393,-10.700531,9.61225,-5.699156,4.609361,-3.3993368,1
-480.08063,48.798054,11.312008,27.44153,-8.6320915,28.075682,7.5644827,10.530672,7.528521,9.689561,2.4187014,9.646851,2.5416827,1
-465.05396,36.99042,9.886636,23.606016,-12.001202,22.796432,10.08616,7.0488915,2.8559566,8.353847,-1.3937747,9.240581,-0.18127537,1
-466.84763,42.658806,10.302456,23.023653,-12.4405575,26.242123,5.6064987,9.326533,1.0541335,6.6328135,0.8877871,9.838568,0.9516188,1
-431.12592,35.485073,6.0445395,19.363369,-12.289171,26.034952,7.500395,9.314184,3.8565972,8.91372,-2.7761946,12.634201,0.20065005,1
-381.25226,27.773294,-3.6882808,21.179611,-8.906299,19.7824,5.704906,7.082545,-0.03684075,8.200938,-3.6920555,8.200551,-0.54293627,1
-413.90836,38.546562,3.5785387,19.792913,-8.120801,24.312496,3.6297686,7.602505,3.5683696,6.7463717,-2.5759044,8.661262,1.3449197,1
-268.06848,-29.54853,-23.322746,14.917332,-5.6370225,16.248695,0.24377216,11.448149,-4.8657813,11.270252,-1.6925957,10.706579,0.05754138,1
-201.583,-58.160744,-38.82989,16.436666,-6.8401394,14.096518,-1.003531,10.928509,-8.185346,11.929161,-1.0786352,11.812282,2.5763013,1
-442.25348,46.797382,5.024212,21.634956,-6.6760135,24.20245,6.9802694,8.516261,6.5213604,9.620522,1.2615489,8.452468,1.6308644,1
-407.95563,40.913673,1.695169,25.259777,-2.1678414,25.333158,8.861029,9.8607025,5.853499,10.160454,-0.8360887,9.862128,2.102636,1
-128.234,-77.3386,-43.214912,16.15545,-7.9500933,-5.293271,-1.3235409,5.9805546,-8.301862,14.620626,-1.8878726,8.77124,-0.46177423,1
-434.59183,44.169083,7.6712117,24.813599,-4.7050667,24.379017,8.882248,10.126777,6.668775,12.292404,0.96189034,11.668368,1.8292582,1
-414.2157,34.281914,2.7529504,20.093641,-8.446443,22.450111,7.5579047,6.848996,3.599068,7.1822968,0.070935726,9.525834,-0.3117977,1
-309.67474,4.1843243,-20.522469,15.897941,-5.1812944,17.553871,0.42876917,8.994076,-2.5490444,9.640319,-1.052729,7.400867,-1.0812607,1
-146.78194,-67.084,-46.58881,16.345318,-9.470404,10.158102,-5.544291,9.32437,-7.393596,7.342693,-0.17935409,6.502699,1.6688497,1
